setup,auroc,auprc,sensitivity,specificity
age,0.46031249999999996,0.8297705996954413,0.51875,0.43333333333333335
gender,0.56875,0.9022623523093447,0.5375,0.6
temperature,0.9986458333333333,0.9997556975058806,0.99375,0.9666666666666667
spo2,0.9912500000000001,0.9985191829031947,0.95,1.0
heart_rate,0.97125,0.9949015563070391,0.95,0.9666666666666667
cough_severity,0.971875,0.9950358851674641,0.8125,1.0
SpO2 only,0.9912500000000001,0.9985191829031947,0.95,1.0
Temperature only,0.9986458333333333,0.9997556975058806,0.99375,0.9666666666666667
SpO2 + Temperature,1.0,0.9999999999999998,0.99375,1.0
All vitals,1.0,0.9999999999999999,1.0,1.0
